name_scientific,order,name_en,name_local,alternate_names_local,alternate_names_en,name_meaning_en,description_local,description_en,size,images_json,song_audios
Buteo swainsoni,Accipitriformes,swainson's hawk,chilaxtaléaxe,,pale hawk,pale hawk; “winter hawk”,,,Large,,
Cygnus sp.,Anseriformes,swan,bíilaachia,,,white goose,,,Very Large,,
Cathartes aura,Cathartiformes,turkey vulture,axxiaxxiipé,akbaachéeluushe,,"wrinkled forehead;
 one who eats dead things",,,Very Large,,
Anhinga anhinga,Suliformes,water turkey,binnakáake,,,water bird,,,Large,,
Sialia mexicana,Passeriformes,western bluebird,dakáakshuakaate,,,little blue bird,,,Small,,
Sturnella neglecta,Passeriformes,western meadowlark,baaúuwatshiile,,,gold one,,,Small-Medium,,
Megascops kennicottii,Strigiformes,western screech owl,bilíkaashee,,,really screams,,,Small-Medium,,
Aeronautes saxatalis,Apodiformes,white-throated swift,iaxpummássaleete,,,lacks first wing feather; need to hear this pronounced > compare with iaxpummikaássaaleete,,,Medium,,
Grus americana,Gruiformes,whooping crane,apitisée,,,big crane,,,Large,,
Meleagris gallopavo,Galliformes,wild turkey,dakáakiskoochiia,,,enemy bird,,,Large,,
Gallinago delicata,Charadriiformes,wilson’s snipe,baáiia,,,arrowhead,,,Medium,,
Aix sponsa,Anseriformes,wood duck,bíaxaake xáxxe,,,spotted duck,,,Medium,,
Xanthocephalus xanthocephalus,Passeriformes,yellow-headed blackbird,baaxíilshiile,,,yellow grey one,,,Small,,
